Longitude	Latitude	Time	Elevation_m
-73.944708	45.417637	13:15:57.385902	9.284
-73.944703	45.419036	13:10:44.393001	8.681
-73.944702	45.418444	13:14:46.367841	8.141
-73.9447	45.416578	13:20:59.375175	7.771
-73.944699	45.417594	13:15:58.383960	9.259
-73.944698	45.418354	13:14:44.370726	8.083
-73.944697	45.417172	13:18:51.363853	8.762
-73.944697	45.418398	13:14:45.369783	8.376
-73.944695	45.418308	13:14:43.370669	8.563
-73.944695	45.418994	13:10:45.394058	8.59
-73.944691	45.418262	13:14:42.370612	8.606
-73.944688	45.417552	13:15:59.369016	9.215
-73.944687	45.419441	13:10:28.391085	9.165
-73.944686	45.418951	13:10:46.390115	8.398
-73.944685	45.417125	13:18:50.364797	8.692
-73.94468	45.418168	13:14:40.382498	9.108
-73.944679	45.416451	13:21:2.374347	7.903
-73.944673	45.416411	13:21:3.377404	7.954
-73.944673	45.418123	13:14:39.387441	8.994
-73.944666	45.418076	13:14:38.387384	9.073
-73.944666	45.418863	13:10:48.383229	8.019
-73.944663	45.416373	13:21:4.370461	7.534
-73.944663	45.417467	13:16:1.371130	9.134
-73.944663	45.419428	13:10:27.393028	9.18
-73.944658	45.418819	13:10:49.379286	7.951
-73.944657	45.417029	13:18:48.363682	8.432
-73.944652	45.418775	13:10:50.380343	7.809
-73.944651	45.417424	13:16:2.370188	9.07
-73.944646	45.418731	13:10:51.380400	7.642
-73.944646	45.419404	13:10:26.393971	9.171
-73.944645	45.417986	13:14:36.383269	9.182
-73.944644	45.416981	13:18:47.364625	8.319
-73.944641	45.41738	13:16:3.370245	8.995
-73.94464	45.418686	13:10:52.394458	7.467
-73.94464	45.419375	13:10:25.392914	9.117
-73.944638	45.419343	13:10:24.391856	9.058
-73.944637	45.41931	13:10:23.392799	9.002
-73.944635	45.417939	13:14:35.387213	9.177
-73.944635	45.41864	13:10:53.392515	7.399
-73.944634	45.419274	13:10:22.392742	8.945
-73.944633	45.416934	13:18:46.379569	8.18
-73.944633	45.417337	13:16:4.374302	8.928
-73.944631	45.418594	13:10:54.391572	7.284
-73.944628	45.418548	13:10:55.391630	7.333
-73.944628	45.419238	13:10:21.393685	8.869
-73.944624	45.417892	13:14:34.387156	9.204
-73.944624	45.418503	13:10:56.392687	7.511
-73.944621	45.416886	13:18:45.378511	8.092
-73.944619	45.419202	13:10:20.393628	8.889
-73.944618	45.417251	13:16:6.368416	8.846
-73.944618	45.418459	13:10:57.391744	7.719
-73.944614	45.418416	13:10:58.392801	7.922
-73.944613	45.417845	13:14:33.389098	9.21
-73.944611	45.417211	13:16:7.370473	8.821
-73.944611	45.418373	13:10:59.391858	8.139
-73.94461	45.416837	13:18:44.378454	7.968
-73.94461	45.419166	13:10:19.393570	8.854
-73.944609	45.418329	13:11:0.390915	8.34
-73.944606	45.418285	13:11:1.378972	8.499
-73.944603	45.417173	13:16:8.368531	8.832
-73.944603	45.418241	13:11:2.380029	8.623
-73.944601	45.417798	13:14:32.388041	9.243
-73.944601	45.418197	13:11:3.379086	8.79
-73.9446	45.416258	13:21:8.375690	8.039
-73.9446	45.41913	13:10:18.392513	8.827
-73.944599	45.416199	13:21:10.373805	8.082
-73.944599	45.418152	13:11:4.378143	8.914
-73.944598	45.418108	13:11:5.378201	9.019
-73.944597	45.416229	13:21:9.374747	8.126
-73.944596	45.418065	13:11:6.377258	9.088
-73.944594	45.417135	13:16:9.375588	8.815
-73.94459	45.416737	13:18:42.378340	7.835
-73.94459	45.417751	13:14:31.387984	9.232
-73.944585	45.417097	13:16:10.367645	8.763
-73.944583	45.417978	13:11:8.380373	9.122
-73.944579	45.419057	13:10:16.391399	8.749
-73.944578	45.419358	13:5:51.403242	9.145
-73.944577	45.416064	13:21:14.373033	8.066
-73.944577	45.419383	13:5:50.402185	9.199
-73.944575	45.419332	13:5:52.402299	9.07
-73.944573	45.419407	13:5:49.403128	9.226
-73.944572	45.416634	13:18:40.378225	7.831
