"Info";"Date";"Time";"TimeStamp";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"";"2020-11-30";"13:56:48.769";"8772";"10000";"1500";"581616"
"";"2020-11-30";"13:56:48.869";"8872";"10000";"1500";"557382"
"";"2020-11-30";"13:56:48.971";"8974";"10000";"1500";"581616"
"";"2020-11-30";"13:56:49.071";"9074";"10000";"1515";"565460"
"";"2020-11-30";"13:56:49.172";"9175";"10000";"1507";"613928"
"";"2020-11-30";"13:56:49.272";"9275";"10000";"1503";"581616"
"";"2020-11-30";"13:56:49.373";"9376";"10000";"1513";"589694"
"";"2020-11-30";"13:56:49.474";"9477";"10000";"1519";"638162"
"";"2020-11-30";"13:56:49.575";"9578";"10000";"1519";"573538"
"";"2020-11-30";"13:56:49.677";"9680";"10000";"1524";"589694"
"";"2020-11-30";"13:56:49.777";"9780";"10000";"1525";"605850"
"";"2020-11-30";"13:56:49.878";"9881";"10000";"1526";"581616"
"";"2020-11-30";"13:56:49.978";"9981";"10000";"1532";"613928"
"";"2020-11-30";"13:56:50.079";"10082";"10000";"1548";"589694"
"";"2020-11-30";"13:56:50.180";"10183";"10000";"1555";"605850"
"";"2020-11-30";"13:56:50.281";"10284";"10000";"1558";"597772"
"";"2020-11-30";"13:56:50.381";"10384";"10000";"1559";"581616"
"";"2020-11-30";"13:56:50.482";"10485";"10000";"1560";"630084"
"";"2020-11-30";"13:56:50.583";"10586";"10000";"1572";"565460"
"";"2020-11-30";"13:56:50.684";"10687";"10000";"1572";"605850"
"";"2020-11-30";"13:56:50.784";"10787";"10000";"1565";"613928"
"";"2020-11-30";"13:56:50.886";"10889";"10000";"1562";"581616"
"";"2020-11-30";"13:56:50.986";"10989";"10000";"1575";"638162"
"";"2020-11-30";"13:56:51.087";"11090";"10000";"1578";"581616"
"";"2020-11-30";"13:56:51.188";"11191";"10000";"1568";"573538"
"";"2020-11-30";"13:56:51.289";"11292";"10000";"1563";"581616"
"";"2020-11-30";"13:56:51.390";"11393";"10000";"1561";"597772"
"";"2020-11-30";"13:56:51.490";"11493";"10000";"1561";"581616"
"";"2020-11-30";"13:56:51.591";"11594";"10000";"1560";"589694"
"";"2020-11-30";"13:56:51.691";"11694";"10000";"1545";"630084"
"";"2020-11-30";"13:56:51.792";"11795";"10000";"1530";"549304"
"";"2020-11-30";"13:56:51.893";"11896";"10000";"1529";"597772"
"";"2020-11-30";"13:56:51.994";"11997";"10000";"1512";"638162"
"";"2020-11-30";"13:56:52.094";"12097";"10000";"1522";"565460"
"";"2020-11-30";"13:56:52.195";"12198";"10000";"1532";"613928"
"";"2020-11-30";"13:56:52.296";"12299";"10000";"1514";"613928"
"";"2020-11-30";"13:56:52.396";"12399";"10000";"1518";"573538"
"";"2020-11-30";"13:56:52.497";"12500";"10000";"1508";"589694"
"";"2020-11-30";"13:56:52.598";"12601";"10000";"1518";"557382"
"";"2020-11-30";"13:56:52.698";"12701";"10000";"1508";"597772"
"";"2020-11-30";"13:56:52.799";"12802";"10000";"1503";"589694"
"";"2020-11-30";"13:56:52.900";"12903";"10000";"1501";"589694"
"";"2020-11-30";"13:56:53.001";"13004";"10000";"1501";"638162"
"";"2020-11-30";"13:56:53.102";"13105";"10000";"1517";"581616"
"";"2020-11-30";"13:56:53.203";"13206";"10000";"1529";"581616"
"";"2020-11-30";"13:56:53.304";"13307";"10000";"1537";"630084"
"";"2020-11-30";"13:56:53.405";"13408";"10000";"1534";"581616"
"";"2020-11-30";"13:56:53.505";"13508";"10000";"1549";"613928"
"";"2020-11-30";"13:56:53.606";"13609";"10000";"1547";"573538"
"";"2020-11-30";"13:56:53.709";"13712";"10000";"1534";"581616"
"";"2020-11-30";"13:56:53.809";"13812";"10000";"1536";"589694"
"";"2020-11-30";"13:56:53.910";"13913";"10000";"1543";"565460"
"";"2020-11-30";"13:56:54.011";"14014";"10000";"1547";"622006"
"";"2020-11-30";"13:56:54.111";"14114";"10000";"1541";"557382"
"";"2020-11-30";"13:56:54.212";"14215";"10000";"1537";"597772"
"";"2020-11-30";"13:56:54.311";"14314";"10000";"1529";"630084"
"";"2020-11-30";"13:56:54.413";"14416";"10000";"1531";"573538"
"";"2020-11-30";"13:56:54.514";"14517";"10000";"1535";"630084"
"";"2020-11-30";"13:56:54.615";"14618";"10000";"1528";"622006"
"";"2020-11-30";"13:56:54.715";"14718";"10000";"1538";"589694"
"";"2020-11-30";"13:56:54.816";"14819";"10000";"1532";"597772"
"";"2020-11-30";"13:56:54.917";"14920";"10000";"1528";"573538"
"";"2020-11-30";"13:56:55.018";"15021";"10000";"1524";"589694"
"";"2020-11-30";"13:56:55.118";"15121";"10000";"1510";"573538"
"";"2020-11-30";"13:56:55.219";"15222";"10000";"1519";"573538"
"";"2020-11-30";"13:56:55.319";"15322";"10000";"1508";"630084"
"";"2020-11-30";"13:56:55.420";"15423";"10000";"1523";"565460"
"";"2020-11-30";"13:56:55.521";"15524";"10000";"1529";"605850"
"";"2020-11-30";"13:56:55.622";"15625";"10000";"1534";"622006"
"";"2020-11-30";"13:56:55.723";"15726";"10000";"1541";"581616"
"";"2020-11-30";"13:56:55.824";"15827";"10000";"1518";"630084"
"";"2020-11-30";"13:56:55.925";"15928";"10000";"1508";"589694"
"";"2020-11-30";"13:56:56.025";"16028";"10000";"1507";"581616"
"";"2020-11-30";"13:56:56.125";"16128";"10000";"1524";"589694"
"";"2020-11-30";"13:56:56.226";"16229";"10000";"1513";"557382"
